graph_id,node_id,label,train_mask,val_mask,test_mask,feat,X,Y,Z
0,0,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",0.76,9.51,1.29
0,1,10,True,False,False,"0.0,0.0,0.0,1.1,5.0,3.2,5.5,17.6",2.05,12.0,4.8
0,2,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",4.71,9.51,4.81
0,3,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",5.01,16.61,1.29
0,4,10,True,False,False,"0.0,0.0,0.0,1.1,5.0,3.2,5.5,17.6",2.05,12.0,1.6
0,5,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",0.76,9.51,4.81
0,6,6,True,False,False,"0.0,0.0,1.0,1.5,1.2,3.2,1.8,5.76",0.75,15.1,1.6
0,7,4,True,False,False,"0.0,0.0,1.0,1.8,4.2,3.2,7.56,24.192",5.9,16.6,1.6
0,8,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",0.76,18.71,1.61
0,9,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",4.71,9.51,1.61
0,10,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",2.06,9.51,1.29
0,11,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",3.81,14.51,1.61
0,12,7,True,False,False,"0.0,0.0,1.0,1.5,3.0,3.2,4.5,14.4",0.75,17.2,1.6
0,13,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",0.76,15.71,1.61
0,14,6,True,False,False,"0.0,0.0,1.0,1.5,4.2,3.2,6.3,20.16",0.75,16.6,4.8
0,15,6,True,False,False,"0.0,0.0,1.0,1.5,1.2,3.2,1.8,5.76",0.75,13.9,1.6
0,16,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",5.91,14.51,1.61
0,17,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",3.26,18.71,1.61
0,18,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",5.91,18.71,1.61
0,19,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",3.41,0.01,1.61
0,20,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",2.06,14.51,1.29
0,21,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,13.91,1.61
0,22,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",2.06,9.51,4.81
0,23,8,True,False,False,"0.0,1.0,0.0,6.8,3.6,3.2,24.48,78.336",3.4,20.5,1.6
0,24,3,True,False,False,"0.0,0.0,0.0,3.5,4.2,3.2,14.7,47.04",3.25,16.6,1.6
0,25,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",2.06,14.51,4.81
0,26,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",3.41,22.31,1.61
0,27,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",4.33,18.71,4.49
0,28,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",0.76,18.71,4.81
0,29,1,False,True,False,"1.0,1.0,0.0,6.8,5.0,3.2,34.0,108.8",3.4,2.5,1.6
0,30,8,False,True,False,"0.0,1.0,0.0,4.2,5.0,6.4,21.0,134.4",4.7,12.0,3.2
0,31,12,False,True,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,12.27,4.49
0,32,12,False,False,True,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,16.43,4.49
0,33,5,False,False,True,"0.0,0.0,0.0,5.3,4.2,3.2,22.26,71.232",4.15,16.6,4.8
0,34,12,False,False,True,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",3.41,5.01,1.61
0,35,2,False,False,True,"0.0,0.0,0.0,6.8,4.5,3.2,30.6,97.92",3.4,7.25,1.6
0,36,0,False,False,True,"0.0,0.0,0.0,1.5,5.0,6.4,7.5,48.0",0.75,11.740909,3.418182
1,0,10,True,False,False,"0.0,0.0,0.0,1.2,5.0,3.2,6.0,19.2",2.1,12.0,4.8
1,1,6,True,False,False,"0.0,0.0,1.0,1.5,4.2,3.2,6.3,20.16",0.75,16.6,4.8
1,2,3,True,False,False,"0.0,0.0,0.0,4.0,4.2,3.2,16.8,53.76",3.5,16.6,1.6
1,3,1,True,False,False,"1.0,1.0,0.0,7.3,5.0,3.2,36.5,116.8",3.65,2.5,1.6
1,4,8,True,False,False,"0.0,1.0,0.0,7.3,3.6,3.2,26.28,84.096",3.65,20.5,1.6
1,5,5,True,False,False,"0.0,0.0,0.0,5.8,4.2,3.2,24.36,77.952",4.4,16.6,4.8
1,6,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",6.41,14.51,1.61
1,7,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,12.27,4.49
1,8,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",0.76,9.51,4.81
1,9,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",4.63,18.71,4.49
1,10,6,True,False,False,"0.0,0.0,1.0,1.5,1.2,3.2,1.8,5.76",0.75,15.1,1.6
1,11,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",0.76,18.71,4.81
1,12,6,True,False,False,"0.0,0.0,1.0,1.5,1.2,3.2,1.8,5.76",0.75,13.9,1.6
1,13,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,13.91,1.61
1,14,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",2.11,9.51,1.29
1,15,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",6.41,18.71,1.61
1,16,10,True,False,False,"0.0,0.0,0.0,1.2,5.0,3.2,6.0,19.2",2.1,12.0,1.6
1,17,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",5.01,9.51,4.81
1,18,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",5.51,16.61,1.29
1,19,0,True,False,False,"0.0,0.0,0.0,1.5,5.0,6.4,7.5,48.0",0.75,11.740909,3.418182
1,20,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",3.66,22.31,1.61
1,21,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",2.11,14.51,1.29
1,22,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",3.66,5.01,1.61
1,23,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",0.76,9.51,1.29
1,24,8,True,False,False,"0.0,1.0,0.0,4.6,5.0,6.4,23.0,147.2",5.0,12.0,3.2
1,25,4,True,False,False,"0.0,0.0,1.0,1.8,4.2,3.2,7.56,24.192",6.4,16.6,1.6
1,26,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",2.11,14.51,4.81
1,27,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",5.01,9.51,1.61
1,28,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",4.11,14.51,1.61
1,29,12,False,True,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,16.43,4.49
1,30,7,False,True,False,"0.0,0.0,1.0,1.5,3.0,3.2,4.5,14.4",0.75,17.2,1.6
1,31,11,False,True,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",3.66,0.01,1.61
1,32,12,False,False,True,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",3.51,18.71,1.61
1,33,2,False,False,True,"0.0,0.0,0.0,7.3,4.5,3.2,32.85,105.12",3.65,7.25,1.6
1,34,11,False,False,True,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",2.11,9.51,4.81
1,35,12,False,False,True,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",0.76,18.71,1.61
1,36,12,False,False,True,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",0.76,15.71,1.61
2,0,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",0.76,15.71,1.56
2,1,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,13.91,1.56
2,2,6,True,False,False,"0.0,0.0,1.0,1.5,1.2,3.1,1.8,5.58",0.75,13.9,1.55
2,3,5,True,False,False,"0.0,0.0,0.0,5.9,4.2,3.1,24.78,76.818",4.45,16.6,4.65
2,4,2,True,False,False,"0.0,0.0,0.0,7.4,4.5,3.1,33.3,103.23",3.7,7.25,1.55
2,5,10,True,False,False,"0.0,0.0,0.0,0.9,5.0,3.1,4.5,13.95",1.95,12.0,1.55
2,6,8,True,False,False,"0.0,1.0,0.0,7.4,3.6,3.1,26.64,82.584",3.7,20.5,1.55
2,7,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",5.61,16.61,1.25
2,8,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",0.76,9.51,4.66
2,9,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,16.43,4.35
2,10,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",1.96,9.51,4.66
2,11,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",1.96,9.51,1.25
2,12,6,True,False,False,"0.0,0.0,1.0,1.5,4.2,3.1,6.3,19.53",0.75,16.6,4.65
2,13,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",1.96,14.51,1.25
2,14,3,True,False,False,"0.0,0.0,0.0,4.1,4.2,3.1,17.22,53.382",3.55,16.6,1.55
2,15,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",4.91,9.51,1.56
2,16,8,True,False,False,"0.0,1.0,0.0,5.0,5.0,6.2,25.0,155.0",4.9,12.0,3.1
2,17,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",3.71,22.31,1.56
2,18,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.96,14.51,4.66
2,19,1,True,False,False,"1.0,1.0,0.0,7.4,5.0,3.1,37.0,114.7",3.7,2.5,1.55
2,20,10,True,False,False,"0.0,0.0,0.0,0.9,5.0,3.1,4.5,13.95",1.95,12.0,4.65
2,21,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",0.76,9.51,1.25
2,22,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",6.51,18.71,1.56
2,23,0,True,False,False,"0.0,0.0,0.0,1.5,5.0,6.2,7.5,46.5",0.75,11.740909,3.311364
2,24,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",4.91,9.51,4.66
2,25,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",0.76,18.71,1.56
2,26,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",0.76,18.71,4.66
2,27,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",4.01,14.51,1.56
2,28,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",3.71,0.01,1.56
2,29,12,False,True,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",3.56,18.71,1.56
2,30,12,False,True,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",3.71,5.01,1.56
2,31,11,False,True,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",4.69,18.71,4.35
2,32,12,False,False,True,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",6.51,14.51,1.56
2,33,4,False,False,True,"0.0,0.0,1.0,1.8,4.2,3.1,7.56,23.436",6.5,16.6,1.55
2,34,7,False,False,True,"0.0,0.0,1.0,1.5,3.0,3.1,4.5,13.95",0.75,17.2,1.55
2,35,12,False,False,True,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,12.27,4.35
2,36,6,False,False,True,"0.0,0.0,1.0,1.5,1.2,3.1,1.8,5.58",0.75,15.1,1.55
3,0,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,12.27,4.49
3,1,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",3.51,0.01,1.61
3,2,5,True,False,False,"0.0,0.0,0.0,4.3,5.0,3.2,21.5,68.8",4.85,12.0,4.8
3,3,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",0.76,9.51,4.81
3,4,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",5.21,12.01,1.29
3,5,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",3.23,9.51,1.93
3,6,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",4.93,14.51,4.49
3,7,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",2.11,9.51,4.81
3,8,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",3.51,5.01,1.61
3,9,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",1.51,16.01,1.61
3,10,10,True,False,False,"0.0,0.0,0.0,1.2,5.0,3.2,6.0,19.2",2.1,12.0,4.8
3,11,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",6.11,9.51,1.61
3,12,4,True,False,False,"0.0,0.0,1.0,1.8,5.0,3.2,9.0,28.8",6.1,12.0,1.6
3,13,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",0.76,14.51,4.81
3,14,1,True,False,False,"1.0,1.0,0.0,7.0,5.0,3.2,35.0,112.0",3.5,2.5,1.6
3,15,12,True,False,False,"0.0,0.0,0.0,3.0,0.0,3.0,9.0,0.0",2.71,12.01,4.81
3,16,2,True,False,False,"0.0,0.0,0.0,7.0,4.5,3.2,31.5,100.8",3.5,7.25,1.6
3,17,11,True,False,False,"0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0",4.93,9.51,4.49
3,18,12,True,False,False,"0.0,0.0,0.0,0.8,0.0,2.1,1.7,0.0",0.76,9.51,1.29
