graph_id,node_id,label,train_mask,val_mask,test_mask,feat,X,Y,Z
0,0,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",3.21,9.51,1.87
0,1,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",2.61,12.01,4.66
0,2,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",4.26,17.51,1.56
0,3,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",2.06,9.51,4.66
0,4,11,True,False,False,"0.0,0.0,0.0,5.5,17.05",2.05,12.0,4.65
0,5,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",2.06,14.51,4.66
0,6,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",3.21,14.51,1.87
0,7,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",0.76,9.51,4.66
0,8,2,True,False,False,"0.0,0.0,0.0,31.5,97.65",3.5,7.25,1.55
0,9,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",0.76,14.51,4.66
0,10,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",6.11,9.51,1.56
0,11,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",6.11,14.51,1.56
0,12,0,True,False,False,"0.0,0.0,0.0,7.5,46.5",0.75,11.740909,3.311364
0,13,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",1.51,12.27,4.35
0,14,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",1.51,13.91,1.56
0,15,3,True,False,False,"0.0,0.0,0.0,18.5,57.35",3.35,12.0,1.55
0,16,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",1.51,16.01,1.56
0,17,7,True,False,False,"0.0,0.0,1.0,1.8,5.58",0.75,13.9,1.55
0,18,4,True,False,False,"0.0,0.0,1.0,9.0,27.9",6.1,12.0,1.55
0,19,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",4.89,9.51,4.35
0,20,1,True,False,False,"1.0,1.0,0.0,35.0,108.5",3.5,2.5,1.55
0,21,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",0.76,17.51,1.56
0,22,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",3.51,0.01,1.56
0,23,13,True,False,False,"0.0,0.0,0.0,1.7,0.0",5.21,12.01,1.25
0,24,8,False,True,False,"0.0,0.0,1.0,4.5,13.95",0.75,16.0,1.55
0,25,12,False,True,False,"0.0,1.0,0.0,0.0,0.0",4.89,14.51,4.35
0,26,13,False,True,False,"0.0,0.0,0.0,1.7,0.0",0.76,9.51,1.25
0,27,6,False,False,True,"0.0,0.0,0.0,22.0,68.2",4.8,12.0,4.65
0,28,9,False,False,True,"0.0,0.0,1.0,21.0,65.1",4.25,16.0,1.55
0,29,13,False,False,True,"0.0,0.0,0.0,9.0,0.0",3.51,5.01,1.56
1,0,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",2.01,14.51,4.36
1,1,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",3.56,0.01,1.46
1,2,6,True,False,False,"0.0,0.0,0.0,25.2,73.08",4.3,7.25,4.35
1,3,12,True,False,False,"0.0,1.0,0.0,0.0,0.0",4.91,14.51,4.07
1,4,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",6.21,14.51,1.46
1,5,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",2.51,12.01,4.36
1,6,9,True,False,False,"0.0,0.0,1.0,21.3,61.77",4.3,16.0,1.45
1,7,2,True,False,False,"0.0,0.0,0.0,31.95,92.655",3.55,7.25,1.45
1,8,4,True,False,False,"0.0,0.0,1.0,9.0,26.1",6.2,12.0,1.45
1,9,7,True,False,False,"0.0,0.0,1.0,1.8,5.22",0.75,13.9,1.45
1,10,6,True,False,False,"0.0,0.0,0.0,23.0,66.7",4.8,12.0,4.35
1,11,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",1.51,7.26,4.36
1,12,3,True,False,False,"0.0,0.0,0.0,19.0,55.1",3.4,12.0,1.45
1,13,8,True,False,False,"0.0,0.0,1.0,4.5,13.05",0.75,16.0,1.45
1,14,0,True,False,False,"0.0,0.0,0.0,7.5,43.5",0.75,11.740909,3.097727
1,15,1,True,False,False,"1.0,1.0,0.0,35.5,102.95",3.55,2.5,1.45
1,16,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",3.15,5.01,1.75
1,17,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",6.21,9.51,1.46
1,18,13,True,False,False,"0.0,0.0,0.0,1.7,0.0",5.31,12.01,1.17
1,19,11,True,False,False,"0.0,0.0,0.0,5.0,14.5",2.0,12.0,4.35
1,20,13,True,False,False,"0.0,0.0,0.0,9.0,0.0",3.23,9.51,1.75
